Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Phase 6,Phase 7
,,,,,,
[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
wide,wide,wide,wide,wide,wide,wide
False,False,False,False,False,False,False
none,none,after,none,none,after,none
0,0,[10],0,0,[15],0
,,12.0,,,18.0,
,,,,,,
,,,,,,
,"[None, None, None, None, None, None, None, None, None, None]",,"[None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[1],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
