Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Phase 6,Phase 7,Phase 8,Phase 9,Phase 10,Phase 11,Phase 12,Phase 13,Phase 14,Phase 15,Phase 16,Phase 17,Phase 18,Phase 19,Phase 20,Phase 21,Phase 22,Phase 23,Phase 24,Phase 25,Phase 26,Phase 27,Phase 28,Phase 29,Phase 30,Phase 31,Phase 32,Phase 33,Phase 34,Phase 35,Phase 36,Phase 37,Phase 38,Phase 39,Phase 40,Phase 41,Phase 42,Phase 43,Phase 44,Phase 45,Phase 46,Phase 47,Phase 48,Phase 49,Phase 50,Phase 51,Phase 52,Phase 53,Phase 54,Phase 55,Phase 56,Phase 57,Phase 58,Phase 59,Phase 60,Phase 61,Phase 62,Phase 63,Phase 64,Phase 65,Phase 66,Phase 67
8.0,20.0,8.0,20.0,8.0,20.0,8.0,20.0,8.0,20.0,8.0,20.0,8.0,20.0,8.0,20.0,5.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,90.0,90.0,75.0,200.0,5.0,22.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,200.0,42.0,70.0,200.0,52.5,40.0,200.0,50.0,70.0,200.0,22.5,40.0
8.0,20.0,8.0,20.0,8.0,20.0,8.0,20.0,8.0,20.0,8.0,20.0,8.0,20.0,8.0,20.0,5.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,90.0,90.0,75.0,200.0,5.0,22.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,5.0,20.0,200.0,42.0,70.0,200.0,52.5,40.0,200.0,50.0,70.0,200.0,22.5,40.0
