Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Phase 6,Phase 7,Phase 8,Phase 9,Phase 10,Phase 11,Phase 12,Phase 13,Phase 14,Phase 15,Phase 16
,,,,,,,,,,,,,,,
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0]"
wide,wide,wide,wide,wide,wide,wide,wide,wide,wide,wide,wide,wide,wide,wide,wide
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
none,none,after,none,after,none,after,none,after,none,after,none,after,none,none,none
0,0,[20],0,[20],0,[20],0,[20],0,[20],0,[20],0,0,0
,,20.0,,20.0,,20.0,,20.0,,20.0,,20.0,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"[None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1]",,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1]",,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1]",,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1]",,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1]",,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1]",,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1]","[1, 1, 1]","[1, 1]"
